Customer_ID,Age,Gender,Income,Total_Purchases,Total_Spend,Avg_Order_Value,Recency,Frequency,Location,Preferred_Category,Cluster,Segment
CUST0001,56.0,Male,98213.0,19,18459.07,971.53,59,19,Delhi,Beauty,0,Occasional Customers
CUST0002,46.0,Female,137407.0,9,17475.39,1941.71,146,9,Maharashtra,Home,0,Occasional Customers
CUST0003,42.0,Male,38268.0,28,83407.52,2978.84,132,28,Tamil Nadu,Fashion,1,High-Value Customers
CUST0004,60.0,Female,97866.0,20,25634.0,1281.7,17,20,Maharashtra,Fashion,0,Occasional Customers
CUST0005,25.0,Female,106269.0,45,81304.2,1806.76,14,45,Gujarat,Electronics,1,High-Value Customers
CUST0006,38.0,Female,80545.0,7,9545.83,1363.69,13,7,Delhi,Fashion,0,Occasional Customers
CUST0007,56.0,Male,123483.0,14,36013.04,2572.36,135,14,Maharashtra,Electronics,0,Occasional Customers
CUST0008,36.0,Male,112822.0,9,24536.34,2726.26,128,9,Karnataka,Groceries,0,Occasional Customers
CUST0009,40.0,Male,92146.0,19,50475.4,2656.6,44,19,Maharashtra,Groceries,0,Occasional Customers
CUST0010,28.0,Female,91966.0,47,137627.28,2928.24,119,47,Delhi,Groceries,1,High-Value Customers
CUST0011,28.0,Female,59922.0,14,3878.7,277.05,143,14,Tamil Nadu,Sports,0,Occasional Customers
CUST0012,41.0,Female,99364.0,38,96956.62,2551.49,19,38,Tamil Nadu,Fashion,1,High-Value Customers
CUST0013,53.0,Male,62913.0,36,82978.56,2304.96,63,36,Delhi,Sports,1,High-Value Customers
CUST0014,42.0,Female,117033.0,40,33613.6,840.34,163,40,Gujarat,Fashion,1,High-Value Customers
CUST0015,41.0,Female,124792.0,17,48920.9,2877.7,81,17,Gujarat,Electronics,0,Occasional Customers
CUST0016,20.0,Male,139425.0,30,18447.0,614.9,163,30,Tamil Nadu,Sports,0,Occasional Customers
CUST0017,39.0,Male,75677.0,9,18924.66,2102.74,147,9,Tamil Nadu,Sports,0,Occasional Customers
CUST0018,19.0,Female,122154.0,33,27379.77,829.69,148,33,Delhi,Sports,1,High-Value Customers
CUST0019,41.0,Female,69841.0,25,35196.75,1407.87,100,25,Gujarat,Beauty,0,Occasional Customers
CUST0020,61.0,Female,66332.0,14,30991.1,2213.65,163,14,Tamil Nadu,Electronics,0,Occasional Customers
CUST0021,47.0,Male,112062.0,11,19550.41,1777.31,160,11,Gujarat,Groceries,0,Occasional Customers
CUST0022,55.0,Female,139863.0,35,48895.35,1397.01,122,35,Tamil Nadu,Electronics,1,High-Value Customers
CUST0023,19.0,Male,115694.0,41,45663.75,1113.75,176,41,Maharashtra,Beauty,1,High-Value Customers
CUST0024,38.0,Male,45032.0,14,35714.7,2551.05,44,14,Karnataka,Fashion,0,Occasional Customers
CUST0025,50.0,Male,57846.0,30,18080.4,602.68,104,30,Rajasthan,Electronics,0,Occasional Customers
CUST0026,29.0,Female,79474.0,41,57575.89,1404.29,152,41,Maharashtra,Sports,1,High-Value Customers
CUST0027,39.0,Female,64936.0,4,10922.08,2730.52,61,4,Rajasthan,Groceries,0,Occasional Customers
CUST0028,61.0,Female,49794.0,4,10273.52,2568.38,125,4,Tamil Nadu,Groceries,0,Occasional Customers
CUST0029,42.0,Male,81588.0,28,37033.92,1322.64,145,28,Karnataka,Fashion,0,Occasional Customers
CUST0030,44.0,Female,90984.0,8,18693.6,2336.7,71,8,Karnataka,Electronics,0,Occasional Customers
CUST0031,59.0,Male,70331.0,2,5009.7,2504.85,107,2,Tamil Nadu,Beauty,0,Occasional Customers
CUST0032,42.0,Female,114397.0,41,110244.08,2688.88,50,41,Tamil Nadu,Fashion,1,High-Value Customers
CUST0033,33.0,Male,48141.0,46,79332.52,1724.62,65,46,Gujarat,Electronics,1,High-Value Customers
CUST0034,32.0,Male,29074.0,22,16994.78,772.49,99,22,Tamil Nadu,Home,0,Occasional Customers
CUST0035,64.0,Male,26406.0,41,37509.67,914.87,32,41,Delhi,Groceries,1,High-Value Customers
CUST0036,61.0,Male,117359.0,16,16447.2,1027.95,164,16,Tamil Nadu,Beauty,0,Occasional Customers
CUST0037,20.0,Female,143279.0,29,54016.85,1862.65,141,29,Delhi,Sports,1,High-Value Customers
CUST0038,54.0,Male,43291.0,49,14301.63,291.87,58,49,Tamil Nadu,Beauty,1,High-Value Customers
CUST0039,24.0,Male,61568.0,48,95084.16,1980.92,128,48,Gujarat,Sports,1,High-Value Customers
CUST0040,38.0,Female,117539.0,30,36605.7,1220.19,142,30,Delhi,Beauty,1,High-Value Customers
CUST0041,26.0,Male,66851.0,12,12320.16,1026.68,165,12,Maharashtra,Groceries,0,Occasional Customers
CUST0042,56.0,Female,119942.0,35,93190.65,2662.59,112,35,Delhi,Sports,1,High-Value Customers
CUST0043,35.0,Female,74823.0,11,16368.11,1488.01,68,11,Gujarat,Electronics,0,Occasional Customers
CUST0044,21.0,Female,43312.0,46,21442.9,466.15,40,46,Rajasthan,Sports,1,High-Value Customers
CUST0045,42.0,Male,63108.0,50,125744.5,2514.89,144,50,Delhi,Fashion,1,High-Value Customers
CUST0046,31.0,Female,86918.0,21,7001.4,333.4,132,21,Tamil Nadu,Electronics,0,Occasional Customers
CUST0047,26.0,Female,54171.0,21,46932.9,2234.9,173,21,Tamil Nadu,Fashion,0,Occasional Customers
CUST0048,43.0,Male,61779.0,5,11834.7,2366.94,90,5,Rajasthan,Beauty,0,Occasional Customers
CUST0049,19.0,Male,88828.0,48,56989.92,1187.29,28,48,Gujarat,Electronics,1,High-Value Customers
CUST0050,37.0,Female,127315.0,20,50188.2,2509.41,96,20,Karnataka,Beauty,0,Occasional Customers
CUST0051,45.0,Female,118723.0,37,60822.45,1643.85,31,37,Tamil Nadu,Home,1,High-Value Customers
CUST0052,64.0,Female,32411.0,3,4491.66,1497.22,3,3,Maharashtra,Beauty,0,Occasional Customers
CUST0053,24.0,Female,122821.0,44,14393.72,327.13,136,44,Gujarat,Beauty,1,High-Value Customers
CUST0054,61.0,Female,137990.0,33,33398.64,1012.08,24,33,Delhi,Fashion,1,High-Value Customers
CUST0055,25.0,Male,77009.0,9,25261.47,2806.83,15,9,Delhi,Sports,0,Occasional Customers
CUST0056,64.0,Male,35422.0,9,11673.99,1297.11,171,9,Maharashtra,Home,0,Occasional Customers
CUST0057,52.0,Male,62468.0,4,6923.04,1730.76,159,4,Tamil Nadu,Beauty,0,Occasional Customers
CUST0058,31.0,Female,52371.0,35,59138.1,1689.66,45,35,Gujarat,Beauty,1,High-Value Customers
CUST0059,34.0,Male,77022.0,17,31504.57,1853.21,8,17,Maharashtra,Home,0,Occasional Customers
CUST0060,53.0,Female,91229.0,34,12638.82,371.73,71,34,Tamil Nadu,Home,0,Occasional Customers
CUST0061,57.0,Female,119071.0,24,29138.16,1214.09,108,24,Gujarat,Electronics,0,Occasional Customers
CUST0062,21.0,Female,71196.0,32,71192.32,2224.76,115,32,Delhi,Fashion,1,High-Value Customers
CUST0063,19.0,Male,100354.0,1,761.57,761.57,103,1,Gujarat,Home,0,Occasional Customers
CUST0064,23.0,Female,116774.0,8,6160.16,770.02,125,8,Rajasthan,Home,0,Occasional Customers
CUST0065,59.0,Male,116410.0,45,10271.25,228.25,57,45,Karnataka,Groceries,1,High-Value Customers
CUST0066,21.0,Female,46715.0,23,32773.85,1424.95,30,23,Gujarat,Sports,0,Occasional Customers
CUST0067,46.0,Male,47605.0,47,125568.02,2671.66,146,47,Karnataka,Home,1,High-Value Customers
CUST0068,35.0,Male,119853.0,40,13812.8,345.32,114,40,Gujarat,Fashion,1,High-Value Customers
CUST0069,43.0,Female,51174.0,12,8821.56,735.13,117,12,Karnataka,Sports,0,Occasional Customers
CUST0070,61.0,Male,29956.0,12,12818.88,1068.24,167,12,Rajasthan,Sports,0,Occasional Customers
CUST0071,51.0,Male,124444.0,46,103446.18,2248.83,60,46,Delhi,Beauty,1,High-Value Customers
CUST0072,27.0,Female,96373.0,47,93707.66,1993.78,98,47,Tamil Nadu,Beauty,1,High-Value Customers
CUST0073,53.0,Female,89252.0,15,20469.6,1364.64,171,15,Karnataka,Beauty,0,Occasional Customers
CUST0074,31.0,Female,81949.0,41,95340.99,2325.39,126,41,Rajasthan,Beauty,1,High-Value Customers
CUST0075,48.0,Female,82646.0,19,36232.43,1906.97,173,19,Karnataka,Groceries,0,Occasional Customers
CUST0076,32.0,Female,90017.0,26,70431.66,2708.91,151,26,Delhi,Home,1,High-Value Customers
CUST0077,42.0,Male,83037.0,29,72223.63,2490.47,94,29,Karnataka,Beauty,1,High-Value Customers
CUST0078,31.0,Male,109818.0,22,19973.36,907.88,134,22,Rajasthan,Electronics,0,Occasional Customers
CUST0079,40.0,Male,26548.0,40,38401.2,960.03,122,40,Rajasthan,Beauty,1,High-Value Customers
CUST0080,57.0,Female,136981.0,21,11571.0,551.0,108,21,Maharashtra,Home,0,Occasional Customers
CUST0081,38.0,Female,123141.0,38,43453.0,1143.5,4,38,Delhi,Beauty,1,High-Value Customers
CUST0082,33.0,Male,93294.0,20,59974.4,2998.72,93,20,Maharashtra,Groceries,0,Occasional Customers
CUST0083,62.0,Male,129204.0,29,38746.9,1336.1,151,29,Delhi,Fashion,1,High-Value Customers
CUST0084,35.0,Female,43177.0,4,3269.48,817.37,6,4,Karnataka,Fashion,0,Occasional Customers
CUST0085,64.0,Male,44022.0,7,16344.65,2334.95,32,7,Rajasthan,Home,0,Occasional Customers
CUST0086,41.0,Female,126297.0,28,48129.76,1718.92,106,28,Maharashtra,Fashion,1,High-Value Customers
CUST0087,43.0,Male,140695.0,28,17328.64,618.88,146,28,Karnataka,Fashion,0,Occasional Customers
CUST0088,42.0,Female,25542.0,4,5063.72,1265.93,15,4,Rajasthan,Electronics,0,Occasional Customers
CUST0089,62.0,Male,111012.0,22,29931.44,1360.52,168,22,Delhi,Home,0,Occasional Customers
CUST0090,58.0,Female,116320.0,12,27728.64,2310.72,122,12,Rajasthan,Home,0,Occasional Customers
CUST0091,46.0,Female,80428.0,45,11604.6,257.88,96,45,Karnataka,Fashion,1,High-Value Customers
CUST0092,32.0,Female,42740.0,3,2859.78,953.26,6,3,Maharashtra,Fashion,0,Occasional Customers
CUST0093,62.0,Female,79353.0,22,36283.94,1649.27,112,22,Maharashtra,Fashion,0,Occasional Customers
CUST0094,18.0,Female,110353.0,44,41921.88,952.77,120,44,Rajasthan,Sports,1,High-Value Customers
CUST0095,42.0,Female,133132.0,2,3919.24,1959.62,123,2,Karnataka,Groceries,0,Occasional Customers
CUST0096,24.0,Male,76532.0,24,37181.52,1549.23,67,24,Gujarat,Beauty,0,Occasional Customers
CUST0097,26.0,Female,36052.0,34,41234.86,1212.79,106,34,Delhi,Groceries,1,High-Value Customers
CUST0098,41.0,Female,120689.0,27,77160.06,2857.78,139,27,Delhi,Home,1,High-Value Customers
CUST0099,18.0,Male,67076.0,41,80772.05,1970.05,43,41,Karnataka,Electronics,1,High-Value Customers
CUST0100,61.0,Female,73420.0,1,563.84,563.84,145,1,Gujarat,Beauty,0,Occasional Customers
CUST0101,25.0,Female,20671.0,8,14146.08,1768.26,96,8,Maharashtra,Electronics,0,Occasional Customers
CUST0102,41.0,Female,20163.0,23,54879.15,2386.05,132,23,Tamil Nadu,Sports,0,Occasional Customers
CUST0103,28.0,Male,61424.0,38,82983.26,2183.77,81,38,Tamil Nadu,Home,1,High-Value Customers
CUST0104,34.0,Male,129538.0,6,4091.1,681.85,41,6,Karnataka,Sports,0,Occasional Customers
CUST0105,25.0,Female,73744.0,22,64301.16,2922.78,133,22,Gujarat,Home,1,High-Value Customers
CUST0106,52.0,Female,90331.0,25,36417.0,1456.68,160,25,Gujarat,Electronics,0,Occasional Customers
CUST0107,52.0,Male,30634.0,18,11614.86,645.27,35,18,Delhi,Electronics,0,Occasional Customers
CUST0108,50.0,Female,24798.0,17,11977.35,704.55,22,17,Maharashtra,Electronics,0,Occasional Customers
CUST0109,22.0,Female,42420.0,12,5700.72,475.06,150,12,Rajasthan,Home,0,Occasional Customers
CUST0110,59.0,Male,137043.0,6,14699.1,2449.85,112,6,Gujarat,Fashion,0,Occasional Customers
CUST0111,56.0,Female,140575.0,26,14083.94,541.69,11,26,Rajasthan,Electronics,0,Occasional Customers
CUST0112,58.0,Male,147158.0,27,14859.45,550.35,3,27,Tamil Nadu,Sports,0,Occasional Customers
CUST0113,45.0,Male,49300.0,8,20650.56,2581.32,137,8,Rajasthan,Beauty,0,Occasional Customers
CUST0114,24.0,Male,109881.0,19,22132.91,1164.89,60,19,Maharashtra,Home,0,Occasional Customers
CUST0115,26.0,Female,30749.0,42,12028.8,286.4,76,42,Maharashtra,Sports,1,High-Value Customers
CUST0116,25.0,Male,124131.0,1,345.31,345.31,87,1,Rajasthan,Groceries,0,Occasional Customers
CUST0117,29.0,Male,45121.0,29,17344.32,598.08,14,29,Karnataka,Groceries,0,Occasional Customers
CUST0118,51.0,Male,148563.0,45,35887.5,797.5,18,45,Gujarat,Beauty,1,High-Value Customers
CUST0119,50.0,Female,57487.0,49,101058.09,2062.41,113,49,Karnataka,Fashion,1,High-Value Customers
CUST0120,40.0,Female,113947.0,35,22417.85,640.51,73,35,Rajasthan,Electronics,1,High-Value Customers
CUST0121,41.0,Male,53361.0,40,21314.0,532.85,23,40,Gujarat,Home,1,High-Value Customers
CUST0122,54.0,Male,41223.0,14,32776.94,2341.21,83,14,Delhi,Sports,0,Occasional Customers
CUST0123,52.0,Female,92930.0,35,72763.25,2078.95,125,35,Karnataka,Electronics,1,High-Value Customers
CUST0124,61.0,Male,80574.0,48,68107.68,1418.91,175,48,Karnataka,Sports,1,High-Value Customers
CUST0125,57.0,Male,48380.0,45,78213.15,1738.07,69,45,Rajasthan,Home,1,High-Value Customers
CUST0126,39.0,Male,46035.0,20,21471.2,1073.56,47,20,Tamil Nadu,Groceries,0,Occasional Customers
